Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603",54.160000,43.930000,180.000000,top
"C2","100n","C_0603",69.551031,-24.748474,180.000000,top
"C3","150n","C_1808",71.301031,-48.498474,90.000000,top
"C4","10µ","C_0805",91.301031,-26.308474,90.000000,top
"C5","18p","C_0603",69.551031,-26.248474,0.000000,top
"C6","18p","C_0603",62.301031,-30.748474,-90.000000,top
"C7","100n","C_0603",69.551031,-23.498474,180.000000,top
"C8","2.2µ","C_0603",16.310000,5.930000,90.000000,top
"C9","100n","C_0603",79.951031,-16.868474,180.000000,top
"C10","100n","C_0603",67.801031,-31.248474,-90.000000,top
"C11","18p","C_0603",83.801031,-32.248474,0.000000,top
"C12","100n","C_0603",68.810000,6.680000,90.000000,top
"C13","100n","C_0603",68.810000,23.180000,90.000000,top
"C14","10µ","C_0805",60.367697,-16.348474,-90.000000,top
"C15","100n","C_0603",89.121031,-32.748474,-90.000000,top
"C16","100n","C_0603",57.060000,25.180000,0.000000,top
"C17","100n","C_0603",92.810000,42.930000,-90.000000,top
"C18","2.2µ","C_0603",20.560000,5.930000,90.000000,top
"C19","100n","C_0603",46.960000,-2.770000,180.000000,top
"C20","18p","C_0603",74.301031,-34.748474,-90.000000,top
"C21","1n","C_0603",56.801031,-19.048474,0.000000,top
"C22","1n","C_0603",56.801031,-20.648474,0.000000,top
"C23","18p","C_0603",73.051031,-34.748474,-90.000000,top
"C24","18p","C_0603",65.310000,10.180000,90.000000,top
"C25","18p","C_0603",65.310000,26.680000,90.000000,top
"C26","18p","C_0603",63.560000,0.430000,180.000000,top
"C27","18p","C_0603",63.560000,16.930000,180.000000,top
"C29","100n","C_0603",32.560000,13.930000,0.000000,top
"C30","100n","C_0603",46.960000,-11.470000,0.000000,top
"C31","18p","C_0603",27.810000,19.430000,0.000000,top
"C32","18p","C_0603",30.560000,16.180000,90.000000,top
"C33","18p","C_0603",75.551031,-34.748474,-90.000000,top
"C35","10µ","C_0805",92.991031,-26.308474,90.000000,top
"C36","100n","C_0603",61.810000,26.680000,-90.000000,top
"C37","100n","C_0603",61.810000,10.180000,-90.000000,top
"C39","18p","C_0603",83.801031,-33.498474,0.000000,top
"C40","100n","C_0603",10.890000,-45.700000,90.000000,top
"C41","100n","C_0603",77.551031,-45.748474,0.000000,top
"C42","2.2µ","C_0603",54.151031,-40.498474,0.000000,top
"C43","2.2µ","C_0603",54.151031,-35.348474,0.000000,top
"C44","2.2µ","C_0603",54.151031,-30.198474,0.000000,top
"C45","18p","C_0603",76.801031,-34.748474,-90.000000,top
"C46","1n","C_0603",38.060000,3.930000,-90.000000,top
"C47","1n","C_0603",40.560000,3.930000,-90.000000,top
"C48","1n","C_0603",41.810000,3.930000,-90.000000,top
"C49","1n","C_0603",39.310000,3.930000,-90.000000,top
"C50","2.2µ","C_0603",88.681031,-26.708474,90.000000,top
"C51","10µ","C_0805",83.551031,-47.748474,180.000000,top
"C52","1n","C_0603",29.810000,11.180000,0.000000,top
"C53","100n","C_0603",82.810000,34.180000,90.000000,top
"C54","100n","C_0603",82.810000,39.680000,90.000000,top
"C55","100n","C_0603",71.310000,38.680000,90.000000,top
"C56","100n","C_0603",82.810000,45.180000,90.000000,top
"C57","18p","C_0603",71.551031,-32.248474,-90.000000,top
"C58","100n","C_0603",87.211031,-35.468474,-90.000000,top
"C59","1n","C_0603",29.810000,9.930000,0.000000,top
"C60","100n","C_0603",89.951031,-26.708474,90.000000,top
"C61","100n","C_0603",47.560000,40.930000,-90.000000,top
"C62","2.2µ","C_0603",11.560000,8.670000,-90.000000,top
"C63","100n","C_0603",57.201031,-16.598474,90.000000,top
"C64","1n","C_0603",32.560000,7.180000,180.000000,top
"C65","2.2µ","C_0603",32.560000,9.930000,0.000000,top
"C66","100n","C_0603",38.060000,40.930000,-90.000000,top
"C67","100n","C_0603",29.810000,5.930000,0.000000,top
"C68","10µ","C_0805",94.861031,-37.448474,0.000000,top
"C69","10µ","C_0805",90.437697,-35.868474,-90.000000,top
"C70","10µ","C_0805",88.724364,-35.868474,-90.000000,top
"C71","100n","C_0603",82.810000,1.180000,90.000000,top
"C72","100n","C_0603",82.810000,17.680000,90.000000,top
"C73","100n","C_0603",82.810000,6.680000,90.000000,top
"C74","100n","C_0603",82.810000,23.180000,90.000000,top
"C75","100n","C_0603",82.810000,28.680000,90.000000,top
"C76","100n","C_0603",82.810000,12.180000,90.000000,top
"C77","100n","C_0603",32.560000,16.930000,0.000000,top
"C78","100n","C_0603",79.301031,-34.748474,90.000000,top
"C79","100n","C_0603",83.551031,-24.748474,180.000000,top
"C80","100n","C_0603",32.560000,12.680000,0.000000,top
"C81","1n","C_0603",32.560000,5.930000,180.000000,top
"C82","100n","C_0603",72.201031,-20.570000,-90.000000,top
"C83","100n","C_0603",69.551031,-29.248474,0.000000,top
"C84","100n","C_0603",36.810000,3.930000,90.000000,top
"C85","100n","C_0603",49.310000,4.930000,90.000000,top
"C86","100n","C_0603",54.060000,21.930000,180.000000,top
"C87","100n","C_0603",36.560000,25.930000,-90.000000,top
"C88","2.2µ","C_0603",48.060000,4.930000,-90.000000,top
"C89","100n","C_0603",32.560000,19.180000,0.000000,top
"C90","2.2µ","C_0603",54.060000,20.430000,0.000000,top
"C91","100n","C_0603",-0.440000,12.930000,180.000000,top
"C94","100n","C_0603",-0.440000,19.930000,180.000000,top
"C95","100n","C_0603",-0.440000,26.930000,180.000000,top
"C96","100n","C_0603",15.060000,5.930000,90.000000,top
"C97","10µ","C_0805",92.151031,-35.868474,-90.000000,top
"C98","100n","C_0603",29.070000,30.640000,-90.000000,top
"C99","100n","C_0603",17.560000,5.930000,90.000000,top
"C100","100n","C_0603",22.060000,42.680000,0.000000,top
"C101","2.2µ","C_0603",12.850000,8.670000,-90.000000,top
"C102","2.2µ","C_0603",14.580000,31.700000,90.000000,top
"C103","100n","C_0603",14.827500,16.395000,-90.000000,top
"C104","100n","C_0603",14.580000,29.030000,-90.000000,top
"C105","100n","C_0603",16.787500,15.375000,180.000000,top
"C106","100n","C_0603",16.540000,28.010000,180.000000,top
"C107","100n","C_0603",20.977500,15.515000,0.000000,top
"C108","100n","C_0603",20.730000,28.150000,0.000000,top
"C109","10µ","C_0805",20.877500,12.325000,0.000000,top
"C110","10µ","C_0805",20.630000,26.710000,0.000000,top
"C111","10µ","C_0805",20.877500,14.075000,0.000000,top
"C112","100n","C_0603",88.810000,45.180000,0.000000,top
"C113","100n","C_0603",70.310000,20.430000,-90.000000,top
"C114","100n","C_0603",92.060000,26.430000,180.000000,top
"C115","100n","C_0603",88.810000,28.680000,180.000000,top
"C116","100n","C_0603",70.310000,3.930000,-90.000000,top
"C117","100n","C_0603",92.060000,9.930000,180.000000,top
"C118","100n","C_0603",88.810000,12.180000,180.000000,top
"C119","100n","C_0603",32.560000,11.180000,0.000000,top
"C120","100n","C_0603",6.740000,10.720000,180.000000,top
"C121","100n","C_0603",5.720000,8.760000,90.000000,top
"C122","100n","C_0603",5.860000,4.570000,-90.000000,top
"C123","10µ","C_0805",2.670000,4.670000,-90.000000,top
"C124","10µ","C_0805",4.420000,4.670000,-90.000000,top
"C125","100n","C_0603",29.810000,8.430000,0.000000,top
"C126","100n","C_0603",29.810000,7.180000,0.000000,top
"C127","100n","C_0603",83.801031,-28.498474,180.000000,top
"C128","100n","C_0603",84.201031,-19.368474,0.000000,top
"C129","2.2µ","C_0603",58.684364,-16.598474,90.000000,top
"C130","100n","C_0603",11.560000,42.680000,0.000000,top
"C131","10µ","C_0805",19.060000,6.180000,90.000000,top
"C132","10µ","C_0805",20.630000,24.960000,0.000000,top
"C133","2.2µ","C_0603",9.465000,10.720000,0.000000,top
"C134","2.2µ","C_0603",7.090000,4.570000,-90.000000,top
"C135","2.2µ","C_0603",20.977500,16.745000,0.000000,top
"C136","2.2µ","C_0603",20.730000,29.380000,0.000000,top
"C137","2.2µ","C_0603",14.827500,19.065000,90.000000,top
"C138","100n","C_0603",10.890000,-48.200000,-90.000000,top
"C139","2.2µ","C_0603",21.810000,35.430000,90.000000,top
"C140","2.2µ","C_0603",20.560000,35.430000,90.000000,top
"C141","2.2µ","C_0603",70.301031,-31.248474,90.000000,top
"C142","2.2µ","C_0603",19.310000,35.430000,90.000000,top
"C144","2.2µ","C_0603",23.060000,35.430000,90.000000,top
"C145","10µ","C_0805",94.861031,-35.518474,0.000000,top
"C146","1n","C_0603",56.801031,-22.248474,0.000000,top
"C147","1n","C_0603",83.801031,-29.748474,0.000000,top
"C148","1n","C_0603",56.801031,-23.898474,0.000000,top
"C149","1n","C_0603",56.801031,-25.448474,0.000000,top
"C150","1n","C_0603",56.801031,-27.048474,0.000000,top
"C500","1n","C_0603",56.801031,-14.298474,0.000000,top
"D1","red","LED-0805-SIDE",94.001031,-21.468474,-90.000000,top
"D2","ES1J R2","SMA_Standard",6.560000,15.680000,90.000000,top
"D3","ES1J R2","SMA_Standard",6.560000,22.680000,90.000000,top
"D4","green","LED-0805-SIDE",-0.500000,15.735279,90.000000,top
"D5","ES1J R2","SMA_Standard",6.560000,29.680000,90.000000,top
"D6","SS34A","SMA_Standard",94.961031,-30.280974,90.000000,top
"D7","ES1J R2","SMA_Standard",32.510000,24.430000,-90.000000,top
"D8","green","LED-0805-SIDE",-0.490000,-46.360000,90.000000,top
"D9","SS34A","SMA_Standard",18.127500,9.775000,0.000000,top
"D10","ES1J R2","SMA_Standard",83.638500,-37.871006,45.000000,top
"D11","ES1J R2","SMA_Standard",92.551031,-49.498474,0.000000,top
"D12","SS34A","SMA_Standard",17.880000,22.410000,0.000000,top
"D13","SS34A","SMA_Standard",0.120000,7.420000,-90.000000,top
"D14","green","LED-0805-SIDE",-0.550000,22.710980,90.000000,top
"D15","green","LED-0805-SIDE",-0.550000,29.710980,90.000000,top
"D16","red","LED-0805-SIDE",50.535000,45.370000,0.000000,top
"D17","yellow","LED-0805-SIDE",45.285000,45.370000,0.000000,top
"D18","green","LED-0805-SIDE",40.035000,45.370000,0.000000,top
"D19","green","LED-0805-SIDE",11.535000,45.370000,0.000000,top
"D20","green","LED-0805-SIDE",22.035000,45.370000,0.000000,top
"D22","SMAJ24A TVS 24V","SMA_Standard",1.810000,44.430000,0.000000,top
"D24","green","LED-0805-SIDE",-0.550000,38.710980,90.000000,top
"L1","220r 700mA","R_0603",69.051031,-31.248474,-90.000000,top
"L2","1m 250mA","NPI31W",89.801031,-42.498474,0.000000,top
"L3","220r 700mA","R_0603",32.560000,8.680000,180.000000,top
"L4","4.7µH","SMD_INDUCTOR_32x25",91.641031,-32.010974,90.000000,top
"L5","6.8µH","SMD_INDUCTOR_32x25",16.445000,13.115000,0.000000,top
"L6","10µH 1A","SMD_INDUCTOR_32x25",16.197500,25.750000,0.000000,top
"L7","220r 700mA","R_0603",84.310000,45.180000,90.000000,top
"L8","220r 700mA","R_0603",70.310000,17.680000,-90.000000,top
"L9","220r 700mA","R_0603",84.310000,28.680000,-90.000000,top
"L10","220r 700mA","R_0603",70.310000,1.180000,-90.000000,top
"L11","220r 700mA","R_0603",84.310000,12.180000,-90.000000,top
"L12","6.8µH","SMD_INDUCTOR_32x25",3.460000,9.102500,-90.000000,top
"P1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",60.560000,44.120000,180.000000,top
"P11","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",91.880000,-14.270000,90.000000,top
"Q1","IRLML6344","SOT-23",10.310000,16.680000,90.000000,top
"Q2","IRLML6344","SOT-23",10.310000,23.680000,90.000000,top
"Q3","IRLML6344","SOT-23",10.310000,30.680000,90.000000,top
"Q4","IRLML6344","SOT-23",34.310000,29.680000,-90.000000,top
"Q5","IRLML6344","SOT-23",7.140000,-45.450000,180.000000,top
"R1","120","R_0603",54.160000,45.230000,180.000000,top
"R2","1k","R_0603",74.590000,-20.560000,90.000000,top
"R3","470","R_0603",88.810000,13.680000,0.000000,top
"R4","470","R_0603",88.810000,-3.070000,0.000000,top
"R5","470","R_0603",88.810000,8.430000,0.000000,top
"R6","470","R_0603",88.810000,24.930000,0.000000,top
"R7","10k","R_0603",9.640000,-48.200000,-90.000000,top
"R8","470","R_0603",91.051031,-20.078474,0.000000,top
"R9","22","R_0603",10.060000,12.680000,0.000000,top
"R10","22","R_0603",10.060000,19.680000,0.000000,top
"R11","22","R_0603",10.060000,26.680000,0.000000,top
"R12","1k","R_0603",10.060000,14.180000,0.000000,top
"R13","1k","R_0603",10.060000,21.180000,0.000000,top
"R14","1k","R_0603",10.060000,28.180000,0.000000,top
"R15","1k","R_0603",87.403031,-26.688474,-90.000000,top
"R16","1k","R_0603",85.801031,-50.748474,0.000000,top
"R17","470","R_0603",88.810000,30.180000,0.000000,top
"R18","470","R_0603",88.810000,41.680000,0.000000,top
"R19","15k","R_0603",86.101031,-28.258474,90.000000,top
"R20","3.9k","R_0603",-0.440000,18.430000,0.000000,top
"R21","51k","R_0603",88.151031,-28.968474,180.000000,top
"R22","3.9k","R_0603",-0.440000,25.430000,0.000000,top
"R23","120","R_0603",68.810000,3.930000,90.000000,top
"R24","120","R_0603",68.810000,20.430000,90.000000,top
"R25","120","R_0603",70.310000,25.930000,90.000000,top
"R26","120","R_0603",70.310000,9.430000,90.000000,top
"R27","249k","R_1206",30.141031,-34.858474,0.000000,top
"R28","249k","R_1206",34.871031,-34.838474,0.000000,top
"R29","3.9k","R_0603",35.591031,-33.138474,180.000000,top
"R30","1k","R_0603",1.100000,-47.360000,90.000000,top
"R31","120","R_0603",91.310000,42.930000,-90.000000,top
"R32","249k","R_1206",30.151031,-30.128474,0.000000,top
"R33","249k","R_1206",34.881031,-30.108474,0.000000,top
"R34","3.9k","R_0603",35.601031,-28.378474,180.000000,top
"R35","10k","R_0603",16.827500,19.945000,180.000000,top
"R36","10k","R_0603",67.560000,25.930000,0.000000,top
"R37","10k","R_0603",67.560000,9.430000,0.000000,top
"R38","10k","R_0603",67.560000,10.930000,0.000000,top
"R39","10k","R_0603",67.560000,27.430000,0.000000,top
"R40","22","R_0603",34.310000,33.680000,180.000000,top
"R41","10k","R_0603",66.560000,0.430000,0.000000,top
"R42","10k","R_0603",66.560000,16.930000,0.000000,top
"R43","10k","R_0603",64.560000,-1.070000,0.000000,top
"R44","10k","R_0603",64.560000,15.430000,0.000000,top
"R45","1k","R_0603",34.310000,32.180000,180.000000,top
"R46","470","R_0603",66.101031,-33.498474,-90.000000,top
"R47","15k","R_0603",67.310000,20.430000,-90.000000,top
"R48","15k","R_0603",67.310000,3.930000,-90.000000,top
"R49","15k","R_0603",67.310000,6.680000,90.000000,top
"R50","15k","R_0603",67.310000,23.180000,90.000000,top
"R51","249k","R_1206",30.161031,-25.388474,0.000000,top
"R52","249k","R_1206",34.891031,-25.368474,0.000000,top
"R53","3.9k","R_0603",35.611031,-23.668474,180.000000,top
"R54","15k","R_0603",61.810000,-1.070000,0.000000,top
"R55","15k","R_0603",61.810000,15.430000,0.000000,top
"R56","15k","R_0603",63.310000,26.680000,90.000000,top
"R57","15k","R_0603",63.310000,10.180000,90.000000,top
"R58","15k","R_0603",66.101031,-30.748474,90.000000,top
"R59","3.9k","R_0603",16.580000,32.580000,180.000000,top
"R60","51k","R_0603",20.970000,19.200000,180.000000,top
"R61","1k","R_0603",40.060000,28.430000,-90.000000,top
"R62","10k","R_0603",95.810000,33.430000,180.000000,top
"R63","1k","R_0603",82.810000,31.430000,90.000000,top
"R64","10k","R_0603",88.810000,34.430000,180.000000,top
"R65","10k","R_0603",95.810000,35.430000,180.000000,top
"R66","1k","R_0603",82.810000,36.930000,90.000000,top
"R67","10k","R_0603",88.810000,38.430000,180.000000,top
"R68","10k","R_0603",95.810000,37.430000,180.000000,top
"R69","1k","R_0603",71.310000,35.930000,90.000000,top
"R70","10k","R_0603",88.810000,36.430000,180.000000,top
"R71","10k","R_0603",95.810000,39.430000,180.000000,top
"R72","1k","R_0603",82.810000,42.430000,90.000000,top
"R73","10k","R_0603",88.810000,40.430000,180.000000,top
"R74","3.9k","R_0603",-0.440000,32.430000,0.000000,top
"R75","1k","R_0603",1.100000,-44.760000,90.000000,top
"R76","470","R_0603",48.060000,45.180000,-90.000000,top
"R77","249k","R_1206",67.401031,-48.948474,90.000000,top
"R78","249k","R_1206",67.401031,-43.748474,90.000000,top
"R79","3.9k","R_0603",67.401031,-39.398474,90.000000,top
"R80","0.002","R_2512",20.501031,-11.348474,180.000000,top
"R81","0.002","R_2512",20.501031,-15.848474,180.000000,top
"R82","0.002","R_2512",20.551031,-20.598474,180.000000,top
"R83","470","R_0603",42.810000,45.180000,-90.000000,top
"R84","470","R_0603",64.851031,-33.498474,-90.000000,top
"R85","470","R_0603",37.560000,45.180000,-90.000000,top
"R86","22","R_0603",60.310000,17.430000,-90.000000,top
"R87","22","R_0603",60.310000,0.930000,-90.000000,top
"R88","22","R_0603",60.310000,9.180000,90.000000,top
"R89","22","R_0603",60.310000,25.680000,90.000000,top
"R90","15k","R_0603",64.851031,-30.748474,90.000000,top
"R91","1k","R_0603",83.051031,-50.748474,0.000000,top
"R92","15k","R_0603",85.801031,-49.498474,180.000000,top
"R93","470","R_0603",60.310000,20.180000,90.000000,top
"R94","470","R_0603",60.310000,3.680000,90.000000,top
"R95","470","R_0603",60.310000,22.930000,-90.000000,top
"R96","470","R_0603",60.310000,6.430000,-90.000000,top
"R97","51k","R_0603",19.120000,32.550000,180.000000,top
"R98","10k","R_0603",14.560000,37.430000,0.000000,top
"R99","1k","R_0603",17.310000,37.430000,0.000000,top
"R100","470","R_0603",63.601031,-33.498474,-90.000000,top
"R101","1k","R_0603",73.310000,29.930000,-90.000000,top
"R102","1k","R_0603",73.310000,35.430000,-90.000000,top
"R103","1k","R_0603",61.810000,34.430000,-90.000000,top
"R104","1k","R_0603",73.310000,40.930000,-90.000000,top
"R105","1k","R_0603",14.560000,35.930000,0.000000,top
"R106","10k","R_0603",24.060000,37.430000,0.000000,top
"R107","15k","R_0603",63.601031,-30.748474,90.000000,top
"R108","1k","R_0603",26.810000,37.430000,0.000000,top
"R109","120","R_0603",82.810000,14.930000,90.000000,top
"R110","120","R_0603",82.810000,-1.570000,90.000000,top
"R111","120","R_0603",82.810000,20.430000,90.000000,top
"R112","120","R_0603",82.810000,3.930000,90.000000,top
"R113","120","R_0603",82.810000,9.430000,90.000000,top
"R114","120","R_0603",82.810000,25.930000,90.000000,top
"R115","3.9k","R_0603",83.801031,-30.948474,0.000000,top
"R116","10k","R_0603",23.690000,5.870000,-90.000000,top
"R117","1k","R_0603",23.690000,3.120000,-90.000000,top
"R118","1k","R_0603",69.551031,-27.748474,180.000000,top
"R119","1k","R_0603",26.810000,35.930000,180.000000,top
"R120","470","R_0603",11.560000,43.930000,0.000000,top
"R121","1k","R_0603",22.370000,3.120000,90.000000,top
"R122","1k","R_0603",22.370000,5.870000,90.000000,top
"R123","1k","R_0603",73.310000,13.430000,-90.000000,top
"R124","1k","R_0603",73.310000,-2.820000,-90.000000,top
"R125","1k","R_0603",73.310000,18.930000,-90.000000,top
"R126","1k","R_0603",73.310000,2.430000,-90.000000,top
"R127","1k","R_0603",73.310000,7.930000,-90.000000,top
"R128","1k","R_0603",73.310000,24.430000,-90.000000,top
"R129","100","R_0603",59.401031,-27.048474,180.000000,top
"R130","120","R_0603",68.810000,17.680000,90.000000,top
"R131","120","R_0603",68.810000,1.180000,90.000000,top
"R132","10k","R_0603",10.290000,8.670000,90.000000,top
"R133","51k","R_0603",10.260000,6.180000,90.000000,top
"R134","470","R_0603",22.060000,44.180000,0.000000,top
"R135","10k","R_0603",95.810000,19.680000,0.000000,top
"R136","1k","R_0603",95.810000,18.430000,180.000000,top
"R137","10k","R_0603",93.810000,24.430000,0.000000,top
"R138","10k","R_0603",95.810000,3.180000,0.000000,top
"R139","1k","R_0603",95.810000,1.930000,180.000000,top
"R140","10k","R_0603",93.810000,7.930000,0.000000,top
"R141","51k","R_0603",7.640000,-47.700000,0.000000,top
"R142","10k","R_0603",7.640000,-48.950000,180.000000,top
"R143","1.5k","R_0603",87.801031,-49.998474,90.000000,top
"R144","5.1k","R_0603",8.320000,4.570000,-90.000000,top
"R145","1.5k","R_0603",20.977500,17.975000,0.000000,top
"R146","5.1k","R_0603",20.730000,30.610000,0.000000,top
"R147","22","R_0603",70.310000,23.180000,90.000000,top
"R148","22","R_0603",70.310000,6.680000,90.000000,top
"R149","3.9k","R_0603",-0.190000,35.180000,0.000000,top
"R152","5.1k","R_0603",62.360000,37.530000,90.000000,top
"R153","1k","R_0603",32.560000,15.430000,180.000000,top
"R154","22","R_0603",16.810000,35.430000,90.000000,top
"R159","22","R_0603",12.190000,10.660000,180.000000,top
"R160","22","R_0603",18.060000,35.430000,90.000000,top
