Ref,Val,Package,PosX,PosY,Rot,Side
"R161","3.9k","R_0603",62.051031,-16.598474,90.000000,top
"R162","100","R_0603",59.401031,-25.448474,180.000000,top
"R163","22","R_0603",13.390000,-45.700000,90.000000,top
"R164","3.9k","R_0603",9.640000,-45.700000,-90.000000,top
"R165","1k","R_0603",12.140000,-45.700000,-90.000000,top
"R166","3.9k","R_0603",7.060000,-42.570000,180.000000,top
"R167","22","R_0603",4.380000,-42.540000,180.000000,top
"R168","100","R_0603",59.401031,-23.898474,180.000000,top
"R169","100","R_0603",59.401031,-22.248474,180.000000,top
"R170","100","R_0603",59.401031,-20.648474,180.000000,top
"R171","100","R_0603",59.401031,-19.048474,180.000000,top
"R172","5.1k","R_0603",86.270000,-16.860000,90.000000,top
"R173","5.1k","R_0603",85.500000,-9.990000,0.000000,top
"R174","1.5k","R_0603",85.501031,-11.268474,180.000000,top
"R175","22","R_0603",85.501031,-12.568474,0.000000,top
"R176","22","R_0603",85.501031,-13.868474,0.000000,top
"R177","5.1k","R_0603",58.360000,37.430000,90.000000,top
"REF1","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","Fiducial_1mm_Outer_CopperTop",66.060000,30.430000,0.000000,top
"REF3","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","Fiducial_1mm_Outer_CopperTop",20.941031,-44.278474,0.000000,top
"REF4","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","Fiducial_1mm_Outer_CopperTop",89.840000,-42.500000,0.000000,top
"U1","USBLC6-4SC6","SOT-23-6",57.060000,27.680000,-90.000000,top
"U2","zldo1117","SOT-223",18.060000,-0.320000,-90.000000,top
"U3","SI8621","SOIC-8-N",45.800000,-7.175000,-90.000000,top
"U4","RT8259","SOT-23-6",86.886031,-32.305974,-90.000000,top
"U5","LNK304D","SOIC-7",77.801031,-48.998474,0.000000,top
"U6","LM358","SOIC-8-N",63.810000,21.430000,90.000000,top
"U7","LM358","SOIC-8-N",63.810000,4.930000,90.000000,top
"U8","SN65176B","SOIC-8-N",78.060000,31.430000,0.000000,top
"U9","SN65176B","SOIC-8-N",78.060000,36.930000,0.000000,top
"U10","SN65176B","SOIC-8-N",66.560000,35.930000,0.000000,top
